,steps,distance,runDistance,calories,date,day
258,5229,3326,385,116,2018-09-28,Friday
259,9512,6077,590,193,2018-09-29,Saturday
260,2530,1585,164,57,2018-09-30,Sunday
261,4640,3000,312,98,2018-10-01,Monday
262,5942,3890,409,131,2018-10-02,Tuesday
263,7123,4840,420,168,2018-10-03,Wednesday
264,4260,2749,422,100,2018-10-04,Thursday
265,3837,2513,279,85,2018-10-05,Friday
266,14080,9401,623,313,2018-10-06,Saturday
267,3721,2429,241,88,2018-10-07,Sunday
268,6192,4015,625,140,2018-10-08,Monday
269,6084,3932,460,136,2018-10-09,Tuesday
270,4039,2731,243,94,2018-10-10,Wednesday
271,6137,4019,757,148,2018-10-11,Thursday
272,7216,4745,400,172,2018-10-12,Friday
273,17843,11965,873,404,2018-10-13,Saturday
274,14783,9869,574,321,2018-10-14,Sunday
275,4588,2950,288,98,2018-10-15,Monday
276,6999,4570,544,157,2018-10-16,Tuesday
277,6390,4182,326,142,2018-10-17,Wednesday
278,7149,4588,502,163,2018-10-18,Thursday
279,8592,5612,728,200,2018-10-19,Friday
280,4897,3161,219,106,2018-10-20,Saturday
281,7069,4499,435,159,2018-10-21,Sunday
282,5982,4004,341,144,2018-10-22,Monday
283,6275,4065,293,133,2018-10-23,Tuesday
284,17435,12046,1390,410,2018-10-24,Wednesday
285,7361,4776,458,159,2018-10-25,Thursday
286,7300,4734,236,162,2018-10-26,Friday
287,10001,6674,196,212,2018-10-27,Saturday
288,3288,2101,357,79,2018-10-28,Sunday
289,3993,2564,195,84,2018-10-29,Monday
290,4671,2964,414,102,2018-10-30,Tuesday
291,9890,6728,691,233,2018-10-31,Wednesday
292,6195,4110,503,145,2018-11-01,Thursday
293,5264,3368,255,114,2018-11-02,Friday
294,2940,1904,167,68,2018-11-03,Saturday
295,6563,4191,371,143,2018-11-04,Sunday
296,5040,3284,284,111,2018-11-05,Monday
297,7056,4564,363,151,2018-11-06,Tuesday
298,0,0,0,0,2018-11-07,Wednesday
